"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_page.dart", "Dart", 75, 0, 4, 79
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\widgets\back_to_home_button.dart", "Dart", 43, 0, 4, 47
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\widgets\create_routine_button.dart", "Dart", 64, 0, 7, 71
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\widgets\training_routine_card.dart", "Dart", 101, 0, 11, 112
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\widgets\training_routine_detail_dialog.dart", "Dart", 139, 0, 4, 143
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\exercise_controllers.dart", "Dart", 70, 0, 14, 84
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\training_session_creator_page.dart", "Dart", 99, 1, 11, 111
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\exercise_card_builder.dart", "Dart", 130, 0, 9, 139
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\exercise_set_row.dart", "Dart", 116, 0, 7, 123
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\finish_workout_button.dart", "Dart", 63, 0, 4, 67
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\routine-name-displayer.dart", "Dart", 32, 0, 5, 37
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\routine_exercises_displayer.dart", "Dart", 137, 0, 20, 157
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\timer-display-widget.dart", "Dart", 40, 0, 4, 44
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\timer_displayer.dart", "Dart", 40, 0, 4, 44
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_creator\widgets\workout_summary.dart", "Dart", 113, 0, 8, 121
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_details\training_session_logs_page.dart", "Dart", 82, 0, 7, 89
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_details\widgets\back_button.dart", "Dart", 44, 0, 2, 46
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_details\widgets\training_log_card.dart", "Dart", 109, 0, 11, 120
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training_session\training_session_details\widgets\training_log_list.dart", "Dart", 31, 0, 9, 40
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\user_profile\user_profile_page.dart", "Dart", 9, 0, 2, 11
"Total", "-", 6563, 149, 725, 7437
